UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,STUFACR,XSTUFACR
190673,R,2985,R,6424,R,46,R,2880,R,0,R,0,R,2880,R,1848,R,64,R,266,R,0,R,0,R,266,R,126,R,47,21,R
190691,R,1107,R,3382,R,33,R,1087,R,0,R,0,R,1087,R,696,R,64,R,50,R,0,R,0,R,50,R,29,R,58,20,R
190707,A,,A,,A,,R,7,Z,0,Z,0,R,7,R,6,R,86,A,,A,,A,,A,,A,,A,,3,R
190716,R,243,R,453,R,54,R,276,R,0,R,0,R,276,R,213,R,77,R,1,R,0,R,0,R,1,R,0,R,0,10,R
190725,R,338,R,616,R,55,R,387,R,0,R,0,R,387,R,300,R,78,R,0,R,0,R,0,R,0,R,0,A,,12,R
190752,R,10,R,14,R,71,R,15,R,0,R,0,R,15,R,12,R,80,A,,A,,A,,A,,A,,A,,7,R
190761,R,299,R,464,R,64,R,229,R,0,R,0,R,229,R,171,R,75,R,0,R,0,R,0,R,0,R,0,A,,15,R
190840,R,1454,R,2068,R,70,R,1554,R,1,R,0,R,1553,R,942,R,61,R,168,R,0,R,0,R,168,R,73,R,43,21,R
190956,A,,A,,A,,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,3,R
190974,R,4,R,25,R,16,R,8,R,0,R,0,R,8,R,4,R,50,R,4,R,0,R,0,R,4,R,2,R,50,10,R
190983,R,206,R,254,R,81,R,204,R,0,R,0,R,204,R,159,R,78,R,0,R,0,R,0,R,0,R,0,A,,11,R
